product_name,aisle,product_id
Chocolate Sandwich Cookies,cookies cakes,1
All-Seasons Salt,spices seasonings,2
Robust Golden Unsweetened Oolong Tea,tea,3
Smart Ones Classic Favorites Mini Rigatoni With Vodka Cream Sauce,frozen meals,4
Green Chile Anytime Sauce,marinades meat preparation,5
Dry Nose Oil,cold flu allergy,6
Pure Coconut Water With Orange,juice nectars,7
Cut Russet Potatoes Steam N' Mash,frozen produce,8
Light Strawberry Blueberry Yogurt,yogurt,9
Sparkling Orange Juice & Prickly Pear Beverage,water seltzer sparkling water,10
Peach Mango Juice,refrigerated,11
Chocolate Fudge Layer Cake,frozen dessert,12
Saline Nasal Mist,cold flu allergy,13
Fresh Scent Dishwasher Cleaner,dish detergents,14
Overnight Diapers Size 6,diapers wipes,15
Mint Chocolate Flavored Syrup,ice cream toppings,16
Rendered Duck Fat,poultry counter,17
Pizza for One Suprema  Frozen Pizza,frozen pizza,18
Gluten Free Quinoa Three Cheese & Mushroom Blend,grains rice dried goods,19
Pomegranate Cranberry & Aloe Vera Enrich Drink,juice nectars,20
Small & Medium Dental Dog Treats,dog food care,21
Fresh Breath Oral Rinse Mild Mint,oral hygiene,22
Organic Turkey Burgers,packaged poultry,23
Tri-Vi-Sol® Vitamins A-C-and D Supplement Drops for Infants,vitamins supplements,24
Salted Caramel Lean Protein & Fiber Bar,energy granola bars,25
Fancy Feast Trout Feast Flaked Wet Cat Food,cat food care,26
Complete Spring Water Foaming Antibacterial Hand Wash,body lotions soap,27
Wheat Chex Cereal,cereal,28
Fresh Cut Golden Sweet No Salt Added Whole Kernel Corn,canned jarred vegetables,29
"Three Cheese Ziti, Marinara with Meatballs",frozen meals,30
White Pearl Onions,packaged vegetables fruits,31
Nacho Cheese White Bean Chips,chips pretzels,32
Organic Spaghetti Style Pasta,dry pasta,33
Peanut Butter Cereal,cereal,34
Italian Herb Porcini Mushrooms Chicken Sausage,hot dogs bacon sausage,35
Traditional Lasagna with Meat Sauce Savory Italian Recipes,frozen meals,36
Noodle Soup Mix With Chicken Broth,soup broth bouillon,37
Ultra Antibacterial Dish Liquid,missing,38
Daily Tangerine Citrus Flavored Beverage,energy sports drinks,39
Beef Hot Links Beef Smoked Sausage With Chile Peppers,hot dogs bacon sausage,40
Organic Sourdough Einkorn Crackers Rosemary,crackers,41
Biotin 1000 mcg,vitamins supplements,42
